User;Repo;Followers;Forks;Languages;Activity
Linus Torvalds;9;255494;59131;Shell:5711336, sed:2543, MATLAB:2482, RPC:962, TeX:19220, XSLT:291922, CSS:12885, Linker Script:9986, Perl:1239946, Clojure:2537, Jinja:30246, XS:1239, Objective-C++:5497, Dockerfile:8499, OpenSCAD:21092, C:1375101177, C++:2924428, JavaScript:41191, Batchfile:944, Lex:71504, Awk:75335, QMake:12652, Assembly:9677865, Yacc:129696, Makefile:2815868, Python:3693792, SmPL:168786, SWIG:6319, Java:19782, CMake:151666, Gherkin:10352, M4:25280, UnrealScript:16878, QML:270918, HTML:36487, R:4070, Roff:206004, Rust:2343575;2025:2, 2017:4, 2022:1, 2011:1, 2018:1
Go;61;11007;39712;TypeScript:1148506, Assembly:4011065, Objective-C:69804, Python:149806, Awk:10010, C++:2691916, TLA:24155, Go:139416711, Makefile:236871, HTML:4578142, CSS:361789, Perl:31837, Java:61066, Shell:607677, C:550347, JavaScript:312387, Dockerfile:46925, Fortran:394, Emacs Lisp:3979, HCL:24958, Limbo:111, PLpgSQL:175943, Batchfile:6101, M4:29002, Vim Script:651;2013:3, 2021:2, 2022:2, 2014:20, 2017:2, 2018:2, 2023:4, 2019:3, 2024:2, 2020:2, 2015:15, 2016:3, 2011:1
The Octocat;8;20661;160147;Ruby:204865, Shell:910, CSS:14950, HTML:4338, JavaScript:48;2018:1, 2014:3, 2011:2, 2016:2
